,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,Alabama 2023,37,31,6,.838,23.19,9.65,,16,2,,15,0,,9,3,,3027,2526,,1510,1023,2314,.442,366,1093,.335,615,848,.725,484,1652,555,224,189,512,691
1,Arizona 2023,35,28,7,.800,19.08,8.34,,14,6,,15,2,,6,4,,2866,2490,,1400,1023,2072,.494,295,781,.378,525,742,.708,356,1376,662,213,110,468,593
2,Arizona State 2023,36,23,13,.639,11.29,8.18,,11,9,,10,5,,7,6,,2559,2447,,1455,910,2163,.421,274,851,.322,465,675,.689,395,1315,515,255,170,422,668
3,Arkansas 2023,36,22,14,.611,15.99,9.87,,8,10,,14,3,,2,8,,2666,2446,,1445,961,2063,.466,179,572,.313,565,810,.698,373,1272,462,302,182,458,694
4,Auburn 2023,34,21,13,.618,14.35,9.29,,10,8,,14,2,,4,8,,2474,2302,,1365,875,1991,.439,221,701,.315,503,723,.696,396,1231,479,263,172,414,655
5,Baylor 2023,34,23,11,.676,17.30,10.54,,11,7,,14,3,,5,5,,2619,2389,,1365,880,1957,.450,323,878,.368,536,720,.744,391,1155,483,223,82,413,590
6,Boise State 2023,34,24,10,.706,12.78,6.21,,13,5,,14,1,,6,6,,2451,2198,,1375,878,1938,.453,265,733,.362,430,587,.733,307,1215,385,171,97,379,555
7,Colgate 2023,35,26,9,.743,2.20,-5.86,,17,1,,14,2,,11,4,,2733,2426,,1400,1042,2038,.511,286,709,.403,363,549,.661,279,1179,637,248,100,357,438
8,College of Charleston 2023,35,31,4,.886,8.40,-4.02,,16,2,,17,1,,11,2,,2804,2353,,1410,959,2202,.436,348,1051,.331,538,723,.744,472,1411,478,259,109,418,590
9,Connecticut 2023,39,31,8,.795,22.95,8.51,,13,7,,15,2,,6,5,,3064,2501,,1560,1082,2333,.464,353,973,.363,547,719,.761,507,1534,684,245,190,503,692
10,Creighton 2023,37,24,13,.649,17.83,9.80,,14,6,,13,2,,5,6,,2828,2531,,1490,1014,2164,.469,319,902,.354,481,614,.783,306,1369,581,185,152,429,486
11,Drake 2023,35,27,8,.771,7.84,-1.14,,15,5,,14,1,,6,6,,2617,2236,,1430,952,2032,.469,278,751,.370,435,567,.767,278,1250,478,187,92,368,522
12,Duke 2023,36,27,9,.750,15.83,7.44,,14,6,,16,0,,4,6,,2592,2290,,1445,936,2072,.452,245,731,.335,475,620,.766,432,1392,526,204,163,432,549
13,Fairleigh Dickinson 2023,37,21,16,.568,-8.98,-9.83,,10,6,,10,5,,8,9,,2863,2744,,1495,1045,2312,.452,302,876,.345,471,626,.752,427,1271,545,295,74,425,696
14,Florida Atlantic 2023,39,35,4,.897,13.92,2.30,,18,2,,17,0,,11,3,,3035,2547,,1570,1084,2326,.466,375,1024,.366,492,684,.719,425,1519,562,252,100,460,613
15,Furman 2023,36,28,8,.778,4.89,-2.90,,15,3,,14,2,,8,3,,2911,2563,,1455,1016,2129,.477,340,988,.344,539,727,.741,351,1262,600,238,115,397,604
16,Gonzaga 2023,37,31,6,.838,18.99,8.04,,14,2,,15,1,,7,2,,3187,2715,,1485,1188,2282,.521,279,737,.379,532,768,.693,383,1376,602,268,127,397,613
17,Grand Canyon 2023,36,24,12,.667,4.43,1.27,,10,7,,14,4,,5,5,,2706,2421,,1450,933,2018,.462,323,843,.383,517,722,.716,364,1317,452,177,115,430,648
18,Houston 2023,37,33,4,.892,22.20,4.79,,17,1,,16,2,,11,0,,2770,2126,,1480,1010,2203,.458,284,835,.340,466,636,.733,474,1441,544,293,182,370,618
19,Howard 2023,35,22,13,.629,-5.04,-5.14,,11,3,,12,2,,6,8,,2634,2542,,1405,934,2038,.458,282,754,.374,484,679,.713,407,1252,523,252,109,573,614
20,Illinois 2023,33,20,13,.606,14.81,7.65,,11,9,,15,2,,3,7,,2452,2216,,1335,874,1946,.449,251,815,.308,453,667,.679,366,1248,409,229,186,426,559
21,Indiana 2023,35,23,12,.657,14.94,8.88,,12,8,,15,2,,5,7,,2616,2404,,1405,994,2044,.486,200,544,.368,428,602,.711,321,1250,533,203,177,402,599
22,Iona 2023,35,27,8,.771,7.61,-2.76,,17,3,,11,1,,8,4,,2660,2297,,1405,979,2135,.459,247,683,.362,453,619,.732,389,1245,520,261,192,367,568
23,Iowa 2023,33,19,14,.576,14.08,8.69,,11,9,,14,3,,4,7,,2642,2464,,1335,941,2077,.453,265,779,.340,495,671,.738,398,1207,541,216,112,325,488
24,Iowa State 2023,33,19,14,.576,15.36,10.39,,9,9,,13,3,,3,8,,2231,2067,,1330,834,1882,.443,211,637,.331,352,525,.670,380,1111,457,290,96,427,633
25,Kansas 2023,36,28,8,.778,19.20,11.84,,13,5,,15,1,,7,4,,2715,2450,,1450,1002,2142,.468,251,724,.347,460,639,.720,353,1294,590,317,139,444,597
26,Kansas State 2023,36,26,10,.722,15.79,9.48,,11,7,,16,1,,4,7,,2742,2515,,1465,961,2083,.461,258,752,.343,562,751,.748,355,1247,611,289,100,498,644
27,Kennesaw State 2023,35,26,9,.743,0.60,-2.06,,15,3,,15,1,,10,6,,2626,2415,,1415,931,2021,.461,286,783,.365,478,723,.661,337,1234,502,276,96,434,631
